Cr	Ni	Mo	Mn	Si	Nb	Ti	Zr	Ta	V	W	Cu	N	C	B	P	S	Co	Al	Sn	Pb	Solution_treatment_temperature	Solution_treatment_time(s)	WQ	AQ	GS	Type of melting	Size of ingot	Product form	Temperature (K)	YS(MPa)	UTS(MPa)	El(%)	Area_reduction (%)	Comments
18.7	10.69	0.47	1.56	0.62	0.01	0.04	0	0	0	0	0.17	0.031	0.062	0.0007	0.025	0.013	0	0.047	0	0	1403	Na	1	0	477.7128917	1	3	1	298	280	610	67	83	NRIM/CDS/No4B/1986 ABA
18.7	10.69	0.47	1.56	0.62	0.01	0.04	0	0	0	0	0.17	0.031	0.062	0.0007	0.025	0.013	0	0.047	0	0	1403	Na	1	0	477.7128917	1	3	1	373	243	508	54	83	NRIM/CDS/No4B/1986 ABA
18.7	10.69	0.47	1.56	0.62	0.01	0.04	0	0	0	0	0.17	0.031	0.062	0.0007	0.025	0.013	0	0.047	0	0	1403	Na	1	0	477.7128917	1	3	1	473	220	472	44	81	NRIM/CDS/No4B/1986 ABA
18.7	10.69	0.47	1.56	0.62	0.01	0.04	0	0	0	0	0.17	0.031	0.062	0.0007	0.025	0.013	0	0.047	0	0	1403	Na	1	0	477.7128917	1	3	1	573	204	470	43	76	NRIM/CDS/No4B/1986 ABA
18.7	10.69	0.47	1.56	0.62	0.01	0.04	0	0	0	0	0.17	0.031	0.062	0.0007	0.025	0.013	0	0.047	0	0	1403	Na	1	0	477.7128917	1	3	1	673	197	470	45	76	NRIM/CDS/No4B/1986 ABA
18.7	10.69	0.47	1.56	0.62	0.01	0.04	0	0	0	0	0.17	0.031	0.062	0.0007	0.025	0.013	0	0.047	0	0	1403	Na	1	0	477.7128917	1	3	1	773	197	443	40	73	NRIM/CDS/No4B/1986 ABA
18.7	10.69	0.47	1.56	0.62	0.01	0.04	0	0	0	0	0.17	0.031	0.062	0.0007	0.025	0.013	0	0.047	0	0	1403	Na	1	0	477.7128917	1	3	1	823	172	425	44	75	NRIM/CDS/No4B/1986 ABA
18.7	10.69	0.47	1.56	0.62	0.01	0.04	0	0	0	0	0.17	0.031	0.062	0.0007	0.025	0.013	0	0.047	0	0	1403	Na	1	0	477.7128917	1	3	1	873	162	391	43	73	NRIM/CDS/No4B/1986 ABA
18.7	10.69	0.47	1.56	0.62	0.01	0.04	0	0	0	0	0.17	0.031	0.062	0.0007	0.025	0.013	0	0.047	0	0	1403	Na	1	0	477.7128917	1	3	1	923	167	314	47	63	NRIM/CDS/No4B/1986 ABA
18.7	10.69	0.47	1.56	0.62	0.01	0.04	0	0	0	0	0.17	0.031	0.062	0.0007	0.025	0.013	0	0.047	0	0	1403	Na	1	0	477.7128917	1	3	1	973	150	256	52	65	NRIM/CDS/No4B/1986 ABA
